web-scraper-order,web-scraper-start-url,footballers,,,appearances,goals,assists,yellow cards,second yellows,red cards,starting lineup percentage,minutes played percentage,goal participation percentage
1653101041-356,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Raheem Sterling,,,29,13,5,1,-,-,62,63,19
1653101548-543,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Jesper Karlsson,,,34,15,13,3,-,-,100,95,44
1653101408-492,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Pablo Sarabia,,,29,15,7,7,-,-,87,77,34
1653101148-395,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Luis Sinisterra,,,10,6,4,1,-,-,83,86,36
1653101269-440,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Youssef Ezzejjari,,,32,18,2,3,-,-,91,88,61
1653101554-545,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Thomas Müller,,,32,8,21,-,-,-,94,84,30
1653101058-363,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Sergiu Istrati,,,24,15,3,4,-,-,48,59,37
1653101209-417,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Fábio Vieira,,,5,1,-,1,-,-,33,47,5
1653101278-443,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Gamid Agalarov,,,28,19,1,5,-,-,90,85,74
1653101568-551,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Matías Rotondi,,,2,2,-,-,-,-,67,67,50
1653101472-513,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Moussa Dembélé,,,29,20,4,5,-,-,65,64,38
1653101287-446,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Adam Hlozek,,,3,1,-,-,-,-,60,62,8
1653101379-480,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Kevin De Bruyne,,,29,15,7,2,-,-,65,64,23
1653101424-496,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Carlos Fortes,,,31,20,3,6,-,-,88,87,52
1653101275-442,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Kreshnik Uka,,,26,19,1,1,-,-,69,71,42
1653101435-500,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Javon East,,,9,3,4,1,-,1,41,39,25
1653101065-365,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Guus Til,,,9,-,2,3,-,1,75,65,7
1653101507-527,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Marco Reus,,,29,9,17,2,-,-,85,82,31
1653101465-510,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Ricardo Horta,,,32,19,5,4,-,-,91,91,46
1653101389-484,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Hamilton,,,28,19,3,8,-,-,90,89,52
1653100996-340,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Joy-Lance Mickels,,,24,11,7,5,1,-,85,81,44
1653101061-364,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Óscar Estupiñán,,,28,15,3,7,1,-,76,71,36
1653101228-425,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Edin Dzeko,,,36,13,7,2,-,-,73,74,25
1653101106-380,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Hakan Calhanoglu,,,33,7,12,11,-,-,86,73,23
1653101029-352,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Jurgen Degabriele,,,21,13,5,2,-,-,91,87,46
1653101357-472,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Sergej Milinković-Savić,,,36,11,11,4,1,-,95,91,30
1653101259-436,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Johan Venegas,,,16,10,3,5,-,1,68,67,36
