web-scraper-order,web-scraper-start-url,footballers,,,appearances,goals,assists,yellow cards,second yellows,red cards,starting lineup percentage,minutes played percentage,goal participation percentage
1653101636-577,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Kylian Mbappé,,,34,25,19,10,-,-,89,88,52
1653101196-413,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Simon Banza,,,29,14,3,6,-,1,90,87,40
1653101075-369,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Léandre Tawamba,,,27,16,2,2,-,-,96,96,45
1653101614-569,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Dejvid Sinani,,,26,18,17,4,-,-,90,82,47
1653101386-483,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Giovanni Simeone,,,35,16,6,8,-,-,84,78,35
1653101563-549,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Dušan Vlahović,,,35,24,5,4,-,-,92,90,45
1653101316-457,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Nenad Lukic,,,32,15,3,5,-,-,85,83,38
1653101632-576,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Robert Lewandowski,,,34,35,4,2,-,-,100,96,40
1653101024-350,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Jan Kuchta,,,9,3,2,1,-,1,73,66,28
1653101346-468,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Franck Etouga,,,24,19,2,1,-,-,79,77,53
1653101189-410,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Victor Osimhen,,,26,14,5,5,-,1,62,59,27
1653101150-396,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Barnabás Varga,,,29,13,6,8,-,-,76,71,56
1653101627-574,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Nemanja Bilbija,,,30,31,7,2,-,-,97,96,54
1653100978-333,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Ivan Delic,,,34,10,8,3,-,-,81,78,39
1653101460-508,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Iago Aspas,,,36,18,6,8,-,-,95,90,56
1653101398-488,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Benjamin Bourigeaud,,,37,10,13,2,-,-,100,94,29
1653101262-437,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Germán Berterame,,,17,7,3,3,-,-,100,96,48
1653101522-532,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Declan McManus,,,22,21,5,4,-,-,100,98,43
1653101299-451,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Hugo Cuypers,,,5,-,2,1,-,-,100,97,33
1653101116-383,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Valmir Veliu,,,30,9,10,6,1,-,69,67,34
1653101403-490,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Joshua Zirkzee,,,5,1,3,-,-,-,100,73,57
1653101089-374,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Bafétimbi Gomis,,,14,9,-,2,-,-,60,60,39
1653101051-360,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Aleksandar Pesic,,,30,14,4,3,-,-,73,72,38
1653101132-389,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Adnan Dzafic,,,27,11,8,11,1,-,77,77,40
1653101186-409,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Michy Batshuayi,,,32,14,5,6,-,-,78,74,37
1653101206-416,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Jomal Williams,,,20,5,-,1,1,-,64,71,22
1653101419-494,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Romarinho,,,26,17,6,2,-,-,100,96,40
1653101524-533,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Serges Deblé,,,28,21,5,-,1,1,81,77,43
1653101448-504,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Omar Khribin,,,23,14,10,2,-,-,92,94,51
1653101067-366,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Andy Delort,,,34,15,3,3,-,-,74,77,34
1653101169-403,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,José Luis Morales,,,34,13,6,7,-,-,79,77,37
1653101475-514,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Odion Ighalo,,,3,3,-,-,-,-,75,66,27
